#PathwayID	Number
PWY-8167	2.10.1.M1
PWY-6891	2.7.7.73
PWY-6892	2.7.7.73
PWY-7999	4.1.1.90
PWY-6679	2.3.1
PWY-8047	2.3.3.M3
PWY-7694	2.3.1
P321-PWY	4.2.1
PWY-7755	1.1.1.391
PWY-8000	2.4.1
PWY-7687	4.1.1.60
PWY-8047	2.3.1.39
PWY-7252	1.1.1.234
PWY-7692	2.1.1
PWY-6527	3.2.1
PWY-6840	6.3.2.23
PWY-7633	2.4.1
PWY-7096	1.3.1.M3
PWY-7901	2.8.2.24
PWY-6927	1.3.7.12
PWY-5098	1.3.7.12
PWY-5423	4.2.3.105
PWY-7769	2.3.1
PWY-6322	2.3.1
PWY-5194	1.3.1.76
PWY-5196	1.3.1.76
PWY-7377	1.3.1.76
PWY-7838	2.4.99.4
PWYG-321	4.2.1.M1
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.7.8.15
PWY-7465	3.13.1
PWY-7742	3.1.2.M1
PWY-5875	1.2.1.M7
PWY-2541	2.1.1.143
PWYG-321	1.1.1.M9
PWY-7352	1.1.1
PWY-7354	1.1.1
P581-PWY	1.8.2.7
PWY-735	1.1.1
PWY-6682	1.14.11
PWY-7724	1.3.1.93
PWY-7619	1.3.1.93
PWY-7602	1.3.1.93
PWY-7644	4.2.2.7
PWY-7376	2.1.1.152
PWY-5672	2.4.1.363
PWYG-321	1.1.1.M9
PWY-5532	2.4.2.57
PWY-7978	1.2.1.24
PWY-6473	1.2.1.24
GLUDEG-I-PWY	1.2.1.24
PWY-6535	1.2.1.24
PWY-4321	1.2.1.24
PWY-8200	1.1.1.210
PWY-7019	6.2.1.39
PWY-7694	2.1.3
PWY-6927	3.1.1.14
PWY-5915	1.3.7.2
PWY-7579	1.3.7.2
PWY-5733	4.2.3.23
PWY-6540	4.2.3.23
PWY-6669	4.2.3.23
PWY-8119	3.4.24
PWY-7811	5.5.1
PWY-6733	1.14.14.80
PWY-5107	2.7.4
PWY-6703	4.3.99.3
PWYG-321	1.3.1.118
PWY-7904	2.7.7.M15
PWY-7569	2.4.1
PWY-7570	2.4.1
PWY-3081	3.5.1.130
P2-PWY	2.3.1.49
PWY-7456	2.4.1.281
PWY-8188	1.1.1.28
P122-PWY	1.1.1.28
ALACAT2-PWY	1.1.1.28
PWY-6901	1.1.1.28
PWY4LZ-257	1.1.1.28
PWY-6454	1.1.1.28
FERMENTATION-PWY	1.1.1.28
PWYG-321	1.3.1.9
PWY-6193	5.5.1.7
PWY-6089	5.5.1.7
PWY-7473	1.14.14
PWY-7799	2.3.2.8
PWY-5883	2.6.1
PWYG-321	4.2.1.M1
PWY-7379	2.1.1.57
PWY-8173	2.3.1.179
PWY-8133	2.4.1
PWY-6684	4.99.1.M6
PWY-8032	1.14.99.65
P163-PWY	4.3.1.14
P481-PWY	1.14.14.108
PWY-7760	4.2.1.169
PWY-7758	4.2.1.169
PWY-7759	4.2.1.169
PWYG-321	2.3.1.294
PWY-5642	1.14.13.210
PWY-8173	3.1.2.14
PWY-7870	2.5.1.144
PWY-7274	3.5.3.25
PWY-7697	2.4.1
PWY-7415	1.14.15.34
PWY-8073	2.7.1.130
PWY-5365	2.5.1.139
PWY-7172	2.3.1
PWYG-321	1.3.1.118
PWY-8174	2.3.1.179
PWY66-3	1.3.1.70
PWY-7636	1.14.15
PWY-101	1.97.1.12
PWY-2981	4.2.3.30
PWY-7071	2.4.1
PWY0-1569	2.3.1.245
PWY-3162	1.13.99.3
PWY-8174	1.1.1.100
PWY-6421	2.8.4.2
PWY-7844	1.14.99.58
PWY-6093	1.13.11.M6
PWY0-901	2.9.1.1
PWY-6763	1.1.1.90
PWY-6766	1.1.1.90
TOLUENE-DEG-CATECHOL-PWY	1.1.1.90
PWY-8175	4.2.1.59
PWY-7483	2.1.1
PWY-7561	2.3.1
PWY-5890	2.5.1.74
PWY66-429	2.3.1.38
FASYN-INITIAL-PWY	2.3.1.38
METHANOGENESIS-PWY	2.1.1.86
PWY-3101	1.14.14.82
PWY-5994	2.3.1.85
PWY-5994	2.3.1.86
PWY-7436	5.5.1.24
PWY-8135	3.5.1.74
PWY-8175	1.3.1.9
PWY-7443	1.14.14.53
PWY-6038	4.1.3.34
PWY-5994	2.3.1.85
PWY-5994	2.3.1.86
PWY-8001	3.4.13.23
PWY-5645	1.2.1.32
PWY-8179	2.8.1
PWY-7351	1.5.1.23
KETOGLUCONMET-PWY	1.1.1.274
PWY-7165	1.1.1.274
PWY-7702	6.3.2
PWY-6568	2.8.2
PWY-5142	3.1.2.14
PWY-5837	6.2.1.26
PWY66-221	2.4.1.17
PWY-5029	1.1.1.111
HISTDEG-PWY	1.1.1.111
PWY-6675	2.8.1
PWY-5274	1.8.2.3
PWY-7072	2.1.1
PWY-8012	1.14.15.M8
PWY-7572	1.14.14
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.256
PWY-7653	2.3.1
FAO-PWY	5.3.3.8
PWY-5137	5.3.3.8
PWY-8012	4.1.1.M15
14DICHLORBENZDEG-PWY	5.5.1.11
PWY1A0-6120	2.3.1.179
PWY1A0-6120	2.3.1.41
PWY-7388	2.3.1.179
PWY-7388	2.3.1.41
PWY-5971	2.3.1.179
PWY-5971	2.3.1.41
PWY-8064	2.1.1.363
PWY-7664	2.3.1.179
PWY-7664	2.3.1.41
PWY-7482	4.2.3.146
PWY-6842	3.4.13.M2
PWY-7669	6.3.2
PWY-5984	2.3.1.M72
P662-PWY	1.14.12
PWY-7760	2.5.1.bl
PWY-8036	6.2.1.al
PWY-5660	2.3.1
PWY-7385	1.1.1.8
PWY-6118	1.1.1.8
PWY-7411	1.1.1.8
PWY-6282	1.1.1.100
PWY-7280	2.3.1
PWY-7704	1.14.11
PWY1A0-6120	1.3.1.9
PWY-5971	1.3.1.9
PWY-7185	3.1.3.5
PWY-7821	3.1.3.5
P342-PWY	1.14.13.6
PWY66-3	1.1.1.170
PWY-7913	3.12.1.M1
PWY-7695	2.3.1
PWY-5139	2.3.1.171
PWY-7079	1.10.3
PWY0-1275	6.3.1.20
PWY-5397	4.2.99
PWY-7367	2.7.8.2
PWY-6804	2.7.8.2
PWY4FS-2	2.7.8.2
PWY3O-450	2.7.8.2
PWY-3561	2.7.8.2
PWY-6991	3.1.3
PWY0-1477	4.3.1.7
PWY-6111	2.3.1.21
PWY0-166	1.1.98.6
PWY-7187	1.1.98.6
PWYG-321	2.3.1.86
PWY3O-355	2.3.1.86
PWY-6420	1.1.99
PWY-6863	1.3.1.44
PWY-6883	1.3.1.44
PWY1F-353	1.14.15.7
PWY-7385	3.1.3.21
PWY-7129	2.4.1
PWY-6693	1.1.1.21
PWY-6322	2.3.1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	5.3.3.10
PWY-6823	2.8.1.11
PWYG-321	1.3.1.118
PWY-5672	4.2.1.125
QUINATEDEG-PWY	1.1.5.8
PWY-7286	4.1.3.44
PWY-7285	4.1.3.44
PWY-5381	2.7.1.173
PWYG-321	1.3.1.118
PWY-6696	2.8.3.2
PWY-6695	2.8.3.2
PWY-7961	2.7.8.26
PWY-6074	1.1.1.270
PWY-8026	1.1.1.270
PWY66-341	1.1.1.270
PWY-3061	1.1.1.223
PWYG-321	2.3.1.293
PWY-5843	1.1.1.334
PWY-7019	1.14.14.13
PWY-5917	1.3.7.5
PWY-7578	1.3.7.5
PWY-6442	2.3.1.M34
PWYG-321	2.3.1
PWY-5923	1.1.1.297
PWY-6585	4.1.1.56
